name_en,weapon_type,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Barroth Slicer II,sword-and-shield,ボルボスクランブルⅡ,Découpeur Barroth II,Scramasax Barroth II,Barroth-Schlitzer II,Rebanadora Barroth II,Fatiador de Barroth II,Majcher Barrotha II,Рассекатель баррота 2,볼보스크럼블Ⅱ,土砂龍混亂Ⅱ,شاطر باروث II
Glavenus Razor I,sword-and-shield,ディノバトラーⅠ,Rasoir Glavenus,Rasoio Glavenus I,Glavenus-Rasiermesser I,Cuchilla Glavenus I,Navalha Glavenus I,Brzytwa Glavenusa I,Лезвие главенуса 1,디노버틀러Ⅰ,斬龍戰狂Ⅰ,شفرة غلافنيوس I
Glavenus Razor II,sword-and-shield,ディノバトラーⅡ,Rasoir Glavenus II,Rasoio Glavenus II,Glavenus-Rasiermesser II,Cuchilla Glavenus II,Navalha Glavenus II,Brzytwa Glavenusa II,Лезвие главенуса 2,디노버틀러Ⅱ,斬龍戰狂Ⅱ,شفرة غلافنيوس II
Blazing Edge I,sword-and-shield,ブレイズエッジⅠ,Lame flamboyante,Taglio fiammante I,Glut-Klinge I,Filo Flameante I,Gume Escaldante I,Ognista klinga I,Полыхающий гребень 1,블레이즈에지Ⅰ,火焰銳劍Ⅰ,الحد المتوهج I
Blazing Edge II,sword-and-shield,ブレイズエッジⅡ,Lame flamboyante II,Taglio fiammante II,Glut-Klinge II,Filo Flameante II,Gume Escaldante II,Ognista klinga II,Полыхающий гребень 2,블레이즈에지Ⅱ,火焰銳劍Ⅱ,الحد المتوهج II
Flammensucher,sword-and-shield,フラムエルシーカ,Flammensucher,Flammensucher,Flammensucher,Flammensucher,Caçachamas,Flammensucher,Искатель огня,플람엘시커,蠻顎龍劍,مطارد اللهب
Gnashing Flammensucher,sword-and-shield,蛮顎剣フラムシーカ,Estoc croc-de-feu,Flammensucher digrignato,Knirschender Flammensucher,Flammensucher Mordiente,Caçachamas Rangedor,Gryzący Flammensucher,Неутомимый искатель огня,만악검플람시커,蠻顎劍追尋者,صرير مطارد اللهب
Gnashing Flammensucher+,sword-and-shield,蛮顎剣フラムシーカ改,Estoc croc-de-feu +,Flammensucher digrignato+,KnirschenderFlammensucher+,Flammensuch. Mordiente+,Caçachamas Rangedor+,Gryzący Flammensucher+,Неутомим. искатель огня+,만악검플람시커+,蠻顎劍追尋者‧改,صرير مطارد اللهب+
Lohensieger,sword-and-shield,蛮炎剣ロギンシーカ,Lohensieger,Lohensieger,Lohensieger,Lohensieger,Cerco Ardente,Lohensieger,Лоэнзигер,만염검 로긴시커,追尋者蠻炎劍,سيف الظل
Donnersieger,sword-and-shield,雷顎剣ドネルシーカ,Donnersieger,Donnersieger,Donnersieger,Donnersieger,Cerco Elétrico,Donnersieger,Доннерзигер,뇌악검 도넬시커,追尋者雷顎劍,سيف الرعد
Donnersieger+,sword-and-shield,雷顎剣ドネルシーカ改,Donnersieger+,Donnersieger+,Donnersieger+,Donnersieger+,Cerco Elétrico+,Donnersieger+,Доннерзигер+,뇌악검 도넬시커+,追尋者雷顎劍‧改,سيف الرعد+
Fulguration's Talon,sword-and-shield,蛮雷剣カーリシーカ,Serre fulgurante,Sperone di folgore,Fulgurations-Kralle,Espuela de fulguración,Garra da Fulguração,Wypalający szpon,Громовой коготь,만뢰검 카리시커,追尋者蠻雷劍,برثن الصعق
Dragonbone Sword I,sword-and-shield,龍骨剣Ⅰ,Épée draconique,Spada dragosso I,Drachenknochen-Schwert I,Espada Dracóstea I,Espada Dragosso I,Miecz smoczej kości I,Драконий меч 1,용골검Ⅰ,龍骨劍Ⅰ,سيف عظام التنين I
Dragonbone Sword II,sword-and-shield,龍骨剣Ⅱ,Épée draconique II,Spada dragosso II,DrachenknochenSchwert II,Espada Dracóstea II,Espada Dragosso II,Miecz smoczej kości II,Драконий меч 2,용골검Ⅱ,龍骨劍Ⅱ,سيف عظام التنين II
Dragonbone Sword III,sword-and-shield,龍骨剣Ⅲ,Épée draconique III,Spada dragosso III,DrachenknochnSchwert III,Espada Dracóstea III,Espada Dragosso III,Miecz smoczej kości III,Драконий меч 3,용골검Ⅲ,龍骨劍Ⅲ,سيف عظام التنين III
Dragonseal Aldsword I,sword-and-shield,龍封じの古剣Ⅰ,Spathe Sceau-de-dragon,Altaspada sigillo I,Drachensiegel-Aldschwert I,Gladio sello dragón I,Espadantiga Selo Dragão I,Miecz smoczej pieczęci I,Меч драконьей печати 1,용봉인 고검Ⅰ,封龍古劍Ⅰ,سيف ختم التنين I
Dragonseal Aldsword II,sword-and-shield,龍封じの古剣Ⅱ,Spathe Sceau-de-dragon II,Altaspada sigillo II,Drachensiegel-Aldschwert II,Gladio sello dragón II,Espadantiga Selo Dragão II,Miecz smoczej pieczęci II,Меч драконьей печати 2,용봉인 고검Ⅱ,封龍古劍Ⅱ,سيف ختم التنين II
Manifested Lotus,sword-and-shield,妙法応身－蓮華－,Lotus mystique,Loto manifesto,Manifestierter Lotus,Loto manifiesto,Lótus Manifesta,Objawiony lotos,Воплощенный лотос,묘법응신-연화-,妙法應身－蓮華－,لوتس متجلية
Fulminator,sword-and-shield,雷刃,Fulminator,Fulminatore,Fulminator,Fulminadora,Fulminador,Gniew piorunów,Рев грома,뇌인,雷刀,السيف الماحي
Thunderbolt Sword I,sword-and-shield,雷光刃Ⅰ,Épée du tonnerre,Spada saetta I,Blitzschlag-Schwert I,Espada Relámpago I,Espada Relâmpago I,Miecz gromu I,Грозовой меч 1,뇌광인Ⅰ,雷光刀Ⅰ,سيف الصاعقة I
Thunderbolt Sword II,sword-and-shield,雷光刃Ⅱ,Épée du tonnerre II,Spada saetta II,Blitzschlag-Schwert II,Espada Relámpago II,Espada Relâmpago II,Miecz gromu II,Грозовой меч 2,뇌광인Ⅱ,雷光刀Ⅱ,سيف الصاعقة II
Ephemeral Fulminator,sword-and-shield,幻雷刃,Fulminator éphémère,Saetta sfavillante,Vergänglicher Fulminator,Fulminadora efímera,Fulminadora Efêmera,Efemeryczny gniew piorunów,Эфемерный рев грома,환뇌인,幻雷刃,السيف الماحي الفاني
Hydros Discus,sword-and-shield,ヒュドロスディスク,Hydros discus,Discus Hydros,Hydros-Diskus,Disco Hidro,Hydros Discus,Hydros Discus,Диск гидры,휴도로스디스크,水蛇衝突,قُرص هيدروس
Blacksteel Sword I,sword-and-shield,黒鋼の剣Ⅰ,Épée sombracier,Spada neracciaio I,Schwarzstahl-Schwert I,Espada Acero Negro I,Espada de Aço Negro I,Miecz z czarnej stali I,Черный меч 1,흑강의검Ⅰ,黑鋼劍Ⅰ,سيف الفولاذ الأسود I
Blacksteel Sword II,sword-and-shield,黒鋼の剣Ⅱ,Épée sombracier II,Spada neracciaio II,Schwarzstahl-Schwert II,Espada Acero Negro II,Espada de Aço Negro II,Miecz z czarnej stali II,Черный меч 2,흑강의검Ⅱ,黑鋼劍Ⅱ,سيف الفولاذ الأسود II
Teostra's Spada,sword-and-shield,テオ＝スパーダ,Spada Teostra,Gladio Teostra,Teostras Spada,Spada Teostra,Espada de Teostra,Szpada Teostry,Шпага теостры,테오스파다,炎王之劍,سيف تيوسترا الجانبي
Teostra's Emblem,sword-and-shield,テオ＝エンブレム,Emblème Teostra,Emblema Teostra,Teostras Wappen,Emblema Teostra,Emblema de Teostra,Sygnet Teostry,Эмблема теостры,테오엠블렘,炎王紋章,رمز تيوسترا
Teostra's Medal,sword-and-shield,テスカ・デル・メダリ,Médaille Teostra,Medaglia Teostra,Teostras Medaille,Medalla de Teostra,Medalha de Teostra,Medal Teostry,Медаль теостры,테스카-델-메다리,炎王緋色榮耀,ميدالية تيوسترا
Xeno Mabura,sword-and-shield,ゼノ＝マブーラー,Xeno Mabura,Mabura Xeno,Xeno-Mabura,Xeno Mabura,Mabura de Xeno,Xeno Mabura,Ксено-мабура,제노마부라,冥燈龍劍,سيف زينو مابورا
Fatal Jho,sword-and-shield,フェイタルジョー,Déchirure fatale,Jho fatale,Tödlicher Jho,Fatal Jho,Jho Fatal,Zabójczy Jho,Смертильо,페이털조,致命暴龍,ديفيلجو المميت
Fatal Bite,sword-and-shield,フェイタルヴァイト,Morsure fatale,Morso fatale,Tödlicher Biss,Mordisco Fatal,Mordida Letal,Zabójcze ukąszenie,Смертельный укус,페이털바이트,致命寬劍,الضربة المميتة
Fate's Shear,sword-and-shield,業鉈アングラム,Cisaille du Destin,Cesoie del fato,Schicksalsscherung,Tijeras del destino,Tosa do Destino,Przycinacz przeznaczenia,Острие судьбы,업사 앵그람,業鉈渴望,مقص القدر
Empress Edge,sword-and-shield,エンプレスエッジ,Kopis Imperatrix,Taglio fiamma,Kaiserin-Schneide,Filo Lunastra,Gume da Luna,Ostrze Luny,Гребень императрицы,엠프리스엣지,皇后銳劍,نصل الإمبراطورة
"Empress Edge ""Blaze""",sword-and-shield,エンプレスエッジ・炎妃,"Kopis Imperatrix ""Lethe""","Taglio fiamma ""Vampa""","Kaiserin-Schneide ""Lunastra""",Filo Lunastra (Luna),Gume da Luna Chama,Ostrze Luny „Żar”,"Гребень ""Пламя""",엠프리스엣지-염비,皇后銳劍‧炎妃,"نصل الإمبراطورة ""لهيب"""
"Soulfire Barb ""Blaze""",sword-and-shield,魂焔の龍剣・炎妃,"Ardillon embrasé ""Lethe""","Barbiglio fuoco ""Vampa""","Seelenfeuerstachel ""Lunastra""",Púa alma ígnea (Luna),Farpa Fogalma Chama,"Zadzior ognia duszy ""Żar""","Жало огня души ""Пламя""",혼염의 용검-염비,魂焰龍劍‧炎妃,"نتوء روح النار ""لهيب"""
"Empress Edge ""Ruin""",sword-and-shield,エンプレスエッジ・滅尽,"Kopis Imperatrix ""Hadès""","Taglio fiamma ""Rovina""","KaiserinSchneide""Nergigante""",Filo Lunastra (Nerg),Gume da Luna Ruína,Ostrze Luny „Ruina”,"Гребень ""Разруха""",엠프리스엣지-멸진,皇后銳劍‧滅盡,"نصل الإمبراطورة ""تجدد"""
"Soulfire Barb ""Ruin""",sword-and-shield,魂焔の龍剣・滅尽,"Ardillon embrasé ""Hadès""","Barbiglio fuoco ""Rovina""","Seelenfeuerstachel ""Nergigante""",Púa alma ígnea (Nerg),Farpa Fogalma Ruína,"Zadzior ognia duszy ""Ruina""","Жало огня души ""Разруха""",혼염의 용검-멸진,魂焰龍劍‧滅盡,"نتوء روح النار ""دمار"""
"Empress Edge ""Styx""",sword-and-shield,エンプレスエッジ・冥灯,"Kopis Imperatrix ""Styx""","Taglio fiamma ""Stige""","KaiserinSchneide""Xeno'jiiva""",Filo Lunastra (Xeno),Gume da Luna Estige,Ostrze Luny „Styks”,"Гребень ""Стикс""",엠프리스엣지-명등,皇后銳劍‧冥燈,"نصل الإمبراطورة ""تنافس"""
"Soulfire Barb ""Styx""",sword-and-shield,魂焔の龍剣・冥灯,"Ardillon embrasé ""Styx""","Barbiglio fuoco ""Stige""","Seelenfeuerstachel""Xeno'jiiva""",Púa alma ígnea (Xeno),Farpa Fogalma Estige,"Zadzior ognia duszy ""Styks""","Жало огня души ""Стикс""",혼염의 용검-명등,魂焰龍劍‧冥燈,"نتوء روح النار ""تنافس"""
Witcher's Silver Sword,sword-and-shield,ウィッチャーの銀の剣,Épée en argent de sorceleur,Spada d'argento da witcher,Hexers Silberschwert,Espada de plata de brujo,Espada Prata de Bruxo,Srebrny miecz wiedźmina,Серебряный меч ведьмака,위쳐의 은검,狩魔獵人的銀劍,‮سيف ويتشر الفضي
Witcher's Silver Sword+,sword-and-shield,ウィッチャーの銀の剣＋,Épée en argent de sorceleur +,Spada d'argento da witcher+,Hexers Silberschwert+,Espada de plata de brujo+,Espada Prata de Bruxo+,Srebrny miecz wiedźmina+,Серебряный меч ведьмака+,위쳐의 은검+,狩魔獵人的銀劍＋,‮سيف ويتشر الفضي+
Witcher's Silver Sword++,sword-and-shield,ウィッチャーの銀の剣＋＋,Épée en argent de sorceleur ++,Spada d'argento da witcher++,Hexers Silberschwert++,Espada de plata de brujo++,Espada Prata de Bruxo++,Srebrny miecz wiedźmina++,Серебряный меч ведьмака++,위쳐의 은검++,狩魔獵人的銀劍＋＋,‮سيف ويتشر الفضي++
Rajang Club,sword-and-shield,金獣棍,Massue Rajang,Bastone Rajang,Rajang-Knüppel,Garrote Rajang,Porrete de Rajang,Pałka Rajanga,Дубинка раянга,금수곤,金獸棍,هِراوة راجانغ
Banned Rajang Club,sword-and-shield,金獣棍【禁忌】,Massue interdite Rajang,Bastone Rajang taboo,Tabu-Rajang-Knüppel,Garrote Rajang ilegal,Porrete de Rajang Banido,Zakazana pałka Rajanga,Запрещенная дубинка раянга,금수곤【금기】,金獸棍【禁忌】,هِراوة راجانغ المحظورة
Demonlord Mace,sword-and-shield,鬼神棍グランジャ,"Gourdin démon ""Granja""",Granja arcidemone,Dämonenfürst-Streitkolben,Maza endemoniada,Maça do Demolorde,Buława władcy demonów,Палица царя демонов,귀신곤 그랜자,鬼神棍豪猩,صولجان العفريت السيد
Brimstren Drakescale,sword-and-shield,獄剣リュウリン,Écaille dragon,Dragosquama di Brimstren,Brimstren-Drakenschuppe,Escama de Brimstren,Dragoscama Enérgica,Siarczysta smocza łuska,Чешуя серной виверны,옥검 류린,獄劍龍鱗,سيف وترس بريمسترين
Stygian Luxuria,sword-and-shield,狼牙剣【欲獄】,Écaille stygienne,Lussuria stigea,Höllen-Luxuria,Lujo Estigio,Luxúria Tenebrosa,Rozpusta Zinogra,Стигийская похоть,낭아검【욕옥】,狼牙劍【欲獄】,سيف وترس جهنميان
Lightbreak Sword,sword-and-shield,砕光の恒剣,Épée de lumière,Spada e scudo d'alba,Lichtbruch-Schwert,Espada parteluz,Espada Quebraluz,Miecz światłości,Меч первых лучей,쇄광의 항검,碎光之恒劍,سيف البرق
Guild Palace Sword,sword-and-shield,ギルドパレスソード,Épée palazzo,Spada Palatium,Palast-Schwert,Espada palacio gremial,Espada Palácio da Guilda,Miecz pałacu Gildii,Меч дворца гильдии,길드팰리스소드,公會宮殿利劍,سيف قصر النقابة
Royal Nova Sword,sword-and-shield,宮廷継剣【新星】,"Épée royale ""Nova""",Spada regale,Königliches Nova-Schwert,Espada Nova Real,Espada Nova Real,Królewski miecz Novy,Меч королевской новы,궁정계검【신성】,宮廷繼劍【新星】,سيف نوفا الملكي
Defender Chainsaws I,dual-blades,防衛隊機械式双鋸Ⅰ,Tronçonneuses du Défenseur,Motoseghe del difensore I,Verteidiger-Sägen I,Sierras defensivas I,Serras Defensoras I,Pilarka Obrońcy I,Цепная пила защитника 1,수비대 기계식 쌍톱Ⅰ,防衛隊機械式雙鋸Ⅰ,مناشير المدافع I
Defender Chainsaws II,dual-blades,防衛隊機械式双鋸Ⅱ,Tronçonneuses du Défenseur II,Motoseghe del difensore II,Verteidiger-Sägen II,Sierras defensivas II,Serras Defensoras II,Pilarka Obrońcy II,Цепная пила защитника 2,수비대 기계식 쌍톱Ⅱ,防衛隊機械式雙鋸Ⅱ,مناشير المدافع II
Defender Chainsaws III,dual-blades,防衛隊機械式双鋸Ⅲ,Tronçonneuses du Défenseur III,Motoseghe del difensore III,Verteidiger-Sägen III,Sierras defensivas III,Serras Defensoras III,Pilarka Obrońcy III,Цепная пила защитника 3,수비대 기계식 쌍톱Ⅲ,防衛隊機械式雙鋸Ⅲ,مناشير المدافع III
Defender Chainsaws IV,dual-blades,防衛隊機械式双鋸Ⅳ,Tronçonneuses du Défenseur IV,Motoseghe del difensore IV,Verteidiger-Sägen IV,Sierras defensivas IV,Serras Defensoras IV,Pilarka Obrońcy IV,Цепная пила защитника 4,수비대 기계식 쌍톱Ⅳ,防衛隊機械式雙鋸Ⅳ,مناشير المدافع IV
Defender Chainsaws V,dual-blades,防衛隊機械式双鋸Ⅴ,Tronçonneuses du Défenseur V,Motoseghe del difensore V,Verteidiger-Sägen V,Sierras defensivas V,Serras Defensoras V,Pilarka Obrońcy V,Цепная пила защитника 5,수비대 기계식 쌍톱Ⅴ,防衛隊機械式雙鋸Ⅴ,مناشير المدافع V
Matched Slicers I,dual-blades,ツインダガーⅠ,Dagues jumelles,Forbici combinate I,Zwillingsdolche I,Rebanadoras Gemelas I,Fatiadores Pareados I,Dopasowane majchry I,Парные тесаки 1,트윈대거Ⅰ,雙刀Ⅰ,الشاطر الثنائي I
Matched Slicers II,dual-blades,ツインダガーⅡ,Dagues jumelles II,Forbici combinate II,Zwillingsdolche II,Rebanadoras Gemelas II,Fatiadores Pareados II,Dopasowane majchry II,Парные тесаки 2,트윈대거Ⅱ,雙刀Ⅱ,الشاطر الثنائي II
Matched Slicers III,dual-blades,ツインダガーⅢ,Dagues jumelles III,Forbici combinate III,Zwillingsdolche III,Rebanadoras Gemelas III,Fatiadores Pareados III,Dopasowane majchry III,Парные тесаки 3,트윈대거Ⅲ,雙刀Ⅲ,الشاطر الثنائي III
Dual Slicers I,dual-blades,デュエルツインダガーⅠ,Les Découpeurs,Forbici doppie I,Doppelschlitzer I,Duorrebanadoras I,Fatiadores Duplos I,Dwa majchry I,Близнецы 1,듀얼트윈대거Ⅰ,決鬥雙刀Ⅰ,الشاطر المزدوج I
Dual Slicers II,dual-blades,デュエルツインダガーⅡ,Les Découpeurs II,Forbici doppie II,Doppelschlitzer II,Duorrebanadoras II,Fatiadores Duplos II,Dwa majchry II,Близнецы 2,듀얼트윈대거Ⅱ,決鬥雙刀Ⅱ,الشاطر المزدوج II
Dual Slicers III,dual-blades,デュエルツインダガーⅢ,Les Découpeurs III,Forbici doppie III,Doppelschlitzer III,Duorrebanadoras III,Fatiadores Duplos III,Dwa majchry III,Близнецы 3,듀얼트윈대거Ⅲ,決鬥雙刀Ⅲ,الشاطر المزدوج III
Chrome Slicers I,dual-blades,クロムツインダガーⅠ,Trancheurs chromés,Forbici cromate I,Chromschlitzer I,Cromorrebanadoras I,Fatiadores Cromados I,Chromowe majchry I,Блестящие тесаки 1,크롬트윈대거Ⅰ,鉻鋼雙刀Ⅰ,نصل الكروم I
Chrome Slicers II,dual-blades,クロムツインダガーⅡ,Trancheurs chromés II,Forbici cromate II,Chromschlitzer II,Cromorrebanadoras II,Fatiadores Cromados II,Chromowe majchry II,Блестящие тесаки 2,크롬트윈대거Ⅱ,鉻鋼雙刀Ⅱ,نصل الكروم II
Chrome Cross I,dual-blades,クロムクロスⅠ,Croix chromée,Croce cromata I,Chromkreuze I,Cromocruz I,Cruz Cromada I,Chromowy krzyż I,Блестящий крест 1,크롬크로스Ⅰ,鉻鋼十字Ⅰ,نصل الكروم المزدوج I
Chrome Cross II,dual-blades,クロムクロスⅡ,Croix chromée II,Croce cromata II,Chromkreuze II,Cromocruz II,Cruz Cromada II,Chromowy krzyż II,Блестящий крест 2,크롬크로스Ⅱ,鉻鋼十字Ⅱ,نصل الكروم المزدوج II
Chrome Cross III,dual-blades,クロムクロスⅢ,Croix chromée III,Croce cromata III,Chromkreuze III,Cromocruz III,Cruz Cromada III,Chromowy krzyż III,Блестящий крест 3,크롬크로스Ⅲ,鉻鋼十字Ⅲ,نصل الكروم المزدوج III
Usurper's Fulgur,dual-blades,王双刃ハタタカミ,Furie du despote,Folgore del tiranno,Thronräuber-Fulgur,Fulgor del usurpador,Fulgor do Usurpador,Pioruny uzurpatora,Гром захватчика,왕쌍인 하타타카미,王雙刃雷神,محتل رعدي
Usurper's Fulgur+,dual-blades,王双刃ハタタカミ改,Furie du despote +,Folgore del tiranno+,Thronräuber-Fulgur+,Fulgor del usurpador+,Fulgor do Usurpador+,Pioruny uzurpatora+,Гром захватчика+,왕쌍인 하타타카미+,王雙刃雷神‧改,محتل رعدي+
Despot's Blitz,dual-blades,王牙双刃【土雷】,Blitz du despote,Folgore del despota,Despoten-Blitz,Chispas de déspota,Bombardeio do Déspota,Blitz despoty,Война деспота,왕아쌍인【토뢰】,王牙雙刃【土雷】,غارة الطاغية
Nergal Gouge,dual-blades,ネルガルガウジ,Catastrophe Nergal,Cavaocchi Nergi,Nergal-Hohleisen,Gubias Nergal,Estripador de Nergal,Nergalne Dłuta,Нергальская борозда,네르갈가우지,滅盡龍裂痕,مُقتلع نيرغال
Decimation Claws,dual-blades,残滅の爪,Griffes de la décimation,Artigli decimatori,Dezimierungsklauen,Garras Diezmadoras,Garras do Extermínio,Szpony Zagłady,Когти карателя,잔멸의발톱,殘滅之爪,مخالب الهلاك
Ruinous Decimation,dual-blades,残滅の爪【鬼】,Supplice exorbitant,Decimazione razziante,Ruinen-Dezimierungen,Diezmadora regia,Dizimação Ferrenha,Niszczycielska wycinka,Децимация,잔멸의발톱【귀】,殘滅之爪【鬼】,فَناء الضَرُوس
Luminous Daggers I,dual-blades,イルミナルダガーⅠ,Dagues de lumière,Pugnali luminosi I,Leuchtende Dolche I,Dagas Lumínicas I,Adagas Luminosas I,Lśniące sztylety I,Блестящие кинжалы 1,일루미널대거Ⅰ,閃耀小刀Ⅰ,الخناجر المضيئة I
Luminous Daggers II,dual-blades,イルミナルダガーⅡ,Dagues de lumière II,Pugnali luminosi II,Leuchtende Dolche II,Dagas Lumínicas II,Adagas Luminosas II,Lśniące sztylety II,Блестящие кинжалы 2,일루미널대거Ⅱ,閃耀小刀Ⅱ,الخناجر المضيئة II
Dual Destroyers I,dual-blades,デュエルデステリオⅠ,Les Destructeurs,Distruttori doppi I,Doppel-Zerstörer I,Duodestructoras I,Destruidoras Duplas I,Dwa przetrzebiacze I,Близнецы-разрушители 1,듀얼데스테리오Ⅰ,決鬥者對劍Ⅰ,المدمّر المزدوج I
Dual Destroyers II,dual-blades,デュエルデステリオⅡ,Les Destructeurs II,Distruttori doppi II,Doppel-Zerstörer II,Duodestructoras II,Destruidoras Duplas II,Dwa przetrzebiacze II,Близнецы-разрушители 2,듀얼데스테리오Ⅱ,決鬥者對劍Ⅱ,المدمّر المزدوج II
Dual Destroyers III,dual-blades,デュエルデステリオⅢ,Les Destructeurs III,Distruttori doppi III,Doppel-Zerstörer III,Duodestructoras III,Destruidoras Duplas III,Dwa przetrzebiacze III,Близнецы-разрушители 3,듀얼데스테리오Ⅲ,決鬥者對劍Ⅲ,المدمّر المزدوج III
Cross Destroyers I,dual-blades,クロス＝デステリオⅠ,Croix destructrice,Distruttori incrociati I,Kreuz-Zerstörer I,Destructor cruz I,Destruidoras Cruzadas I,Krzyżowe niszczyciele I,Перекрестные разрушители 1,크로스데스테리오Ⅰ,十字對劍Ⅰ,المدمرات المتعاكسة I
Cross Destroyers II,dual-blades,クロス＝デステリオⅡ,Croix destructrice II,Distruttori incrociati II,Kreuz-Zerstörer II,Destructor cruz II,Destruidoras Cruzadas II,Krzyżowe niszczyciele II,Перекрестные разрушители 2,크로스데스테리오Ⅱ,十字對劍Ⅱ,المدمرات المتعاكسة II
Hidden Tomahawk I,dual-blades,ヒドゥントマホークⅠ,Tomahawk occulte,Tomahawk occulto I,Geheim-Kriegsbeile I,Tomahawk oculto I,Tomahawk Oculto I,Ukryty tomahawk I,Скрытый томагавк 1,히든토마호크Ⅰ,隱密直柄斧Ⅰ,فأس خفي I
Hidden Tomahawk II,dual-blades,ヒドゥントマホークⅡ,Tomahawk occulte II,Tomahawk occulto II,Geheim-Kriegsbeile II,Tomahawk oculto II,Tomahawk Oculto II,Ukryty tomahawk II,Скрытый томагавк 2,히든토마호크Ⅱ,隱密直柄斧Ⅱ,فأس خفي II
Rookslayer Handaxes,dual-blades,爆鱗の手斧,Francisques explosives,Asce torre,Bazel-Handäxte,Segures Rookslayer,Mãochados Matacorvos,Siekiery wieżobójcy,"Топорики ""Гроза птиц""",폭린의손도끼,爆鱗手斧,فأس ذابح الرخ الحجري
Bazelhawk Rookslayer,dual-blades,爆鱗双斧バゼルホーク,Bazel Hawk,Torre falco Bazel,Bazel-Doppelklingen,Rookslayer Bazelhawk,Matacorvos Bazelfalco,Bazelszpon wieżobójcy,Гроза птиц базельгейса,폭린의쌍도끼바젤호크,爆鱗雙斧赤紅巨星,بازيلغيس ذابح الرخ
Blazing Warhawks,dual-blades,爆炎の双戦斧,Serres flamboyantes,Warhawk fiammanti,Gleißende Kriegstreiber,Halcones Flameantes,Falcões Escaldantes,Płonące jastrzębie wojny,Сияющие боевые ястребы,폭염의 쌍전부,爆炎雙戰斧,صقور الحرب المتحمسة
Bazel Bombers,dual-blades,爆炎双斧バゼルボンバー,Bombardiers Bazel,Bombardieri di Bazel,Bazel-Bomber,Bombarderas Bazel,Bombardeiras de Bazel,Bombiarze Bazela,Бомбометы базела,폭염쌍부 바젤봄버,爆炎雙斧燋爍,قاذفو قنابل بازيل
Freeze Daggers I,dual-blades,フリーズダガーⅠ,Dagues de glace,Pugnali ghiacciati I,Frostdolche I,Dagas Heladas I,Adagas Congelantes I,Mrożące sztylety I,Кинжалы мороза 1,프리즈대거Ⅰ,冰結小刀Ⅰ,خناجر التجميد I
Freeze Daggers II,dual-blades,フリーズダガーⅡ,Dagues de glace II,Pugnali ghiacciati II,Frostdolche II,Dagas Heladas II,Adagas Congelantes II,Mrożące sztylety II,Кинжалы мороза 2,프리즈대거Ⅱ,冰結小刀Ⅱ,خناجر التجميد II
Freeze Chain I,dual-blades,フリーズチェーンⅠ,Tronçonneuse de glace,Motoseghe ghiacciate I,Frostkette I,Cadenas Heladas I,Corrente Congelante I,Mrożące piły I,Цепь мороза 1,프리즈체인Ⅰ,冰結鏈劍Ⅰ,سلسلة التجميد I
Freeze Chain II,dual-blades,フリーズチェーンⅡ,Tronçonneuse de glace II,Motoseghe ghiacciate II,Frostkette II,Cadenas Heladas II,Corrente Congelante II,Mrożące piły II,Цепь мороза 2,프리즈체인Ⅱ,冰結鏈劍Ⅱ,سلسلة التجميد II
Blizzarioths,dual-blades,ニヴルブリザード,Blizzarioths,Tempeste Barioth,Blizzarioth-Klingen,Neviscarioths,Nevascarioths,Śnieszczoty,Клинки вьюги,니블블리자드,暗霧蘊劍,بليزاريوث
Blizzarioths+,dual-blades,ニヴルブリザード改,Blizzarioths +,Tempeste Barioth+,Blizzarioth-Klingen+,Neviscarioths+,Nevascarioths+,Śnieszczoty+,Клинки вьюги+,니블블리자드+,暗霧蘊劍‧改,بليزاريوث+
Mountain Blizzarioths,dual-blades,ベルゲルブリザード,Blizzarioths montagneux,Tempeste montane,Blizzarioth-Bergklingen,Monte Neviscarioths,Nevascarioths do Cume,Górskie śnieszczoty,Клинки горной вьюги,베르게르블리자드,寒霜暴風劍,بليزاريوث جبلي
Rending Beaks I,dual-blades,ビークダガーⅠ,Coutelas farouches,Becchi laceranti I,Schneidende Schnäbel I,Picos Desgarradores I,Bicos Dilacerantes I,Rozrywające dzioby I,Острый клюв 1,비크대거Ⅰ,釘鉤小刀Ⅰ,مِنقار الشطر I
Rending Beaks II,dual-blades,ビークダガーⅡ,Coutelas farouches II,Becchi laceranti II,Schneidende Schnäbel II,Picos Desgarradores II,Bicos Dilacerantes II,Rozrywające dzioby II,Острый клюв 2,비크대거Ⅱ,釘鉤小刀Ⅱ,مِنقار الشطر II
Rending Beaks III,dual-blades,ビークダガーⅢ,Coutelas farouches III,Becchi laceranti III,Schneidende Schnäbel III,Picos Desgarradores III,Bicos Dilacerantes III,Rozrywające dzioby III,Острый клюв 3,비크대거Ⅲ,釘鉤小刀Ⅲ,مِنقار الشطر III
Arcanaria I,dual-blades,アルカナリアⅠ,Arcanaria,Arcanaria I,Arcanaria I,Arcanaria I,Arcanária I,Arcanaria I,Арканария 1,아르카나리아Ⅰ,奧秘雙劍Ⅰ,آركاناريا I
Arcanaria II,dual-blades,アルカナリアⅡ,Arcanaria II,Arcanaria II,Arcanaria II,Arcanaria II,Arcanária II,Arcanaria II,Арканария 2,아르카나리아Ⅱ,奧秘雙劍Ⅱ,آركاناريا II
